test_name,metric_name,direction,unit,count,mean,median,p50,p90,p99,min,max,stdev
bufferbloat,rtt_idle_p50,NA,ms,3,73.392,74.257,74.257,75.241,75.241,70.678,75.241,2.4013
bufferbloat,rtt_increase_ms,NA,ms,3,108.628,98.512,98.512,142.542,142.542,84.83,142.542,30.1566
bufferbloat,rtt_load_p50,NA,ms,3,182.02,172.769,172.769,217.783,217.783,155.508,217.783,32.1517
bufferbloat,rtt_load_p95,NA,ms,3,326.4583,307.415,307.415,392.127,392.127,279.833,392.127,58.519
iperf_tcp,throughput_mbps,DL,Mbps,6,7.8058,7.724,7.968,8.948,8.948,7.06,8.948,0.7275
iperf_tcp,throughput_mbps,UL,Mbps,6,25.3827,18.5565,27.256,65.701,65.701,2.865,65.701,24.0661
iperf_udp,jitter_ms,UL,ms,9,1.5872,1.5643,1.5643,2.4373,2.4373,1.014,2.4373,0.4697
iperf_udp,loss_pct,UL,%,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ping,loss_pct,NA,%,3,1.11,0.0,0.0,3.33,3.33,0.0,3.33,1.9226
ping,rtt_avg_ms,NA,ms,3,76.795,76.247,76.247,82.05,82.05,72.088,82.05,5.0036
ping,rtt_ms,NA,ms,89,76.8477,75.738,75.738,87.07,93.268,67.702,93.268,6.1783
ping,rtt_p50_ms,NA,ms,3,76.677,75.574,75.574,83.565,83.565,70.892,83.565,6.4081
tcp_connect,connect_time_ms,NA,ms,12,80.0467,74.496,74.578,100.624,103.251,67.319,103.251,13.2148
traceroute,hop_avg_rtt_ms,NA,ms,6,52.4023,52.244,72.339,74.824,74.824,30.728,74.824,22.8644
bufferbloat,rtt_idle_p50,NA,ms,3,73.392,74.257,74.257,75.241,75.241,70.678,75.241,2.4013
bufferbloat,rtt_increase_ms,NA,ms,3,108.628,98.512,98.512,142.542,142.542,84.83,142.542,30.1566
bufferbloat,rtt_load_p50,NA,ms,3,182.02,172.769,172.769,217.783,217.783,155.508,217.783,32.1517
bufferbloat,rtt_load_p95,NA,ms,3,326.4583,307.415,307.415,392.127,392.127,279.833,392.127,58.519
iperf_tcp,throughput_mbps,DL,Mbps,6,7.8058,7.724,7.968,8.948,8.948,7.06,8.948,0.7275
iperf_tcp,throughput_mbps,UL,Mbps,6,25.3827,18.5565,27.256,65.701,65.701,2.865,65.701,24.0661
iperf_udp,jitter_ms,UL,ms,9,1.5872,1.5643,1.5643,2.4373,2.4373,1.014,2.4373,0.4697
iperf_udp,loss_pct,UL,%,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ping,loss_pct,NA,%,3,1.11,0.0,0.0,3.33,3.33,0.0,3.33,1.9226
ping,rtt_avg_ms,NA,ms,3,76.795,76.247,76.247,82.05,82.05,72.088,82.05,5.0036
ping,rtt_ms,NA,ms,89,76.8477,75.738,75.738,87.07,93.268,67.702,93.268,6.1783
ping,rtt_p50_ms,NA,ms,3,76.677,75.574,75.574,83.565,83.565,70.892,83.565,6.4081
tcp_connect,connect_time_ms,NA,ms,12,80.0467,74.496,74.578,100.624,103.251,67.319,103.251,13.2148
traceroute,hop_avg_rtt_ms,NA,ms,6,52.4023,52.244,72.339,74.824,74.824,30.728,74.824,22.8644
